Genus	ICC1_single_raters_absolute	ICC2_single_random_raters	ICC3_single_fixed_raters	ICC1-p-value	iCC2-p-value	ICC3-p-value
g__Faecalicoccus	0.1796497	0.1823361	0.1841452	0.02217095	0.02023188	0.02023188
g__Faecalitalea	0.7177618	0.7191636	0.730041	5.866893E-018	1.775912E-018	1.775912E-018
g__Holdemanella	0.7982937	0.7988544	0.8055729	6.384953E-024	3.204041E-024	3.204041E-024
g__Holdemania	0.888446	0.8897693	0.922603	7.327978E-035	4.64749E-041	4.64749E-041
g__Solobacterium	0.967279	0.9672925	0.968497	2.637516E-058	5.937721E-058	5.937721E-058
g__Turicibacter	0.456915	0.4706464	0.5092761	0.0000002135704	0.000000008469577	0.000000008469577
g__Fusobacterium	0.9279179	0.9279534	0.9293256	3.953206E-043	9.394273E-043	9.394273E-043
g__Leptotrichia	0.4911472	0.4913379	0.4918908	0.00000002390926	0.00000002761944	0.00000002761944
g__Victivallis	0.3189998	0.328586	0.343074	0.0002220318	0.00008692914	0.00008692914
g__Caulobacter	0.5938714	0.5976836	0.6150018	0.000000000007596858	0.00000000000146446	0.00000000000146446
g__Sphingomonas	0.9439082	0.9439507	0.9461017	6.328274E-048	7.916981E-048	7.916981E-048
g__Bilophila	0.918473	0.9190056	0.9373792	8.71183E-041	5.140241E-045	5.140241E-045
g__Desulfovibrio	0.9653635	0.9654063	0.9689951	3.315415E-057	2.965554E-058	2.965554E-058
g__Anaerobiospirillum	0.9793938	0.9793938	0.9793946	2.900101E-067	5.336505E-066	5.336505E-066
g__Succinatimonas	0.4996978	0.4997094	0.4997445	0.00000001337024	0.00000001631098	0.00000001631098
g__Succinivibrio	0.5084372	0.5102069	0.5157774	0.00000000727145	0.000000005360384	0.000000005360384
g__Haemophilus	0.1081885	0.1272197	0.1359213	0.1079628	0.06282128	0.06282128
g__Acinetobacter	0.5325003	0.5404624	0.5695636	0.00000000125189	0.00000000008543149	0.00000000008543149
g__Pseudomonas	-0.007083366	0	0	0.5206225	0.4883994	0.4883994
g__Vibrio	0.3311398	0.3390907	0.3516303	0.0001338019	0.00005965221	0.00005965221
g__Cloacibacillus	0.940035	0.9400403	0.940291	1.203966E-046	6.59384E-046	6.59384E-046
g__Fretibacterium	0.4899549	0.4912874	0.4951684	0.00000002589855	0.00000002220141	0.00000002220141
g__Pyramidobacter	0.4977811	0.4982929	0.4998209	0.00000001524976	0.00000001622662	0.00000001622662
g__Synergistes	0.997435	0.997435	0.997435	7.20415E-108	1.047493E-105	1.047493E-105
