"genus"	"FR.294.M"	"FR.316.M"	"FR.221.M"	"FR.213.M"	"FR.194.M"	"FR.716.M"	"FR.052.M"	"FR.684.M"	"FR.053.M"	"FR.198.M"	"FR.730.M"	"FR.115.M"	"FR.276.M"	"FR.305.M"	"FR.399.M"	"FR.393.M"	"FR.728.M"	"FR.152.M"	"FR.726.M"	"FR.400.M"	"FR.460.M"	"FR.721.M"	"FR.719.M"	"FR.759.M"	"FR.542.M"	"FR.129.M"	"FR.751.M"	"FR.212.M"	"FR.696.M"	"FR.040.M"	"FR.110.M"	"FR.187.M"	"FR.139.M"	"FR.169.M"	"FR.390.M"	"FR.156.M"	"FR.116.M"	"FR.027.M"	"FR.558.M"	"FR.060.M"	"FR.349.M"	"FR.039.M"	"FR.132.M"	"FR.568.M"	"FR.030.M"	"FR.105.M"	"FR.173.M"	"FR.682.M"	"FR.166.M"	"FR.142.M"	"FR.294.Q"	"FR.316.Q"	"FR.221.Q"	"FR.213.Q"	"FR.194.Q"	"FR.716.Q"	"FR.052.Q"	"FR.684.Q"	"FR.053.Q"	"FR.198.Q"	"FR.730.Q"	"FR.115.Q"	"FR.276.Q"	"FR.305.Q"	"FR.399.Q"	"FR.393.Q"	"FR.728.Q"	"FR.152.Q"	"FR.726.Q"	"FR.400.Q"	"FR.460.Q"	"FR.721.Q"	"FR.719.Q"	"FR.759.Q"	"FR.542.Q"	"FR.129.Q"	"FR.751.Q"	"FR.212.Q"	"FR.696.Q"	"FR.040.Q"	"FR.110.Q"	"FR.187.Q"	"FR.139.Q"	"FR.169.Q"	"FR.390.Q"	"FR.156.Q"	"FR.116.Q"	"FR.027.Q"	"FR.558.Q"	"FR.060.Q"	"FR.349.Q"	"FR.039.Q"	"FR.132.Q"	"FR.568.Q"	"FR.030.Q"	"FR.105.Q"	"FR.173.Q"	"FR.682.Q"	"FR.166.Q"	"FR.142.Q"	"FR.294.D"	"FR.316.D"	"FR.221.D"	"FR.213.D"	"FR.194.D"	"FR.052.D"	"FR.684.D"	"FR.053.D"	"FR.198.D"	"FR.730.D"	"FR.115.D"	"FR.305.D"	"FR.399.D"	"FR.393.D"	"FR.728.D"	"FR.152.D"	"FR.726.D"	"FR.460.D"	"FR.721.D"	"FR.719.D"	"FR.759.D"	"FR.542.D"	"FR.129.D"	"FR.751.D"	"FR.212.D"	"FR.696.D"	"FR.040.D"	"FR.110.D"	"FR.187.D"	"FR.139.D"	"FR.390.D"	"FR.156.D"	"FR.027.D"	"FR.558.D"	"FR.060.D"	"FR.349.D"	"FR.039.D"	"FR.132.D"	"FR.568.D"	"FR.030.D"	"FR.105.D"	"FR.173.D"	"FR.682.D"	"FR.166.D"	"FR.142.D"
"g__Atopococcus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"g__Azoarcus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"g__Azorhizobium"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"g__Azospirillum"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"g__Bacillus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00202001158139973	0	0.000403648172180164	0.000224688806003685	0.000330954323339064	0	0	0.000323737746526294	0	0.0199164056617158	0.000422390051869498	0	0	0	0	0.00200738718484021	0	0.00148167903868664	0	0.000806438605828938	0	0	0.000652984465499566	0	0	0.00128600823045267	0	0.000791734293970943	0	0	0	0	0	0	0	0.00165098233448902	0	0.000645344484886032	0.00131247949250793	0	0	0.00124415248332836	0	0	0	0	0	0	0.00461907987928805	0.00340558857084476	0	0	0	0	0	0	0	0	0.0140567637678699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"g__bacterium"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00147393167589716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0124415248332836	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"g__Bacteroides"	0.257587151760323	4.88777946129781	6.0318981384846	7.77242482110828	5.04715718536946	15.0178748003347	2.96477094285519	0.995403429088724	3.88534705686561	2.46230952091425	1.02169464567998	0.0338322243882006	0.531648477886272	0.258003000687073	6.11995366596594	7.69789050073446	2.37290761053722	0.128221088011951	1.41266347773465	3.44700154288196	1.87917292561182	43.2411031080114	3.23300220093986	0.614168861777346	11.5729557372873	0.282728564957278	0.783016581359871	6.52257019663631	0.0406912488696875	12.364338262073	3.84425387290547	1.56521504869408	0.99110423515761	4.47196220546378	2.44901481082947	2.78751391695188	5.36557563914672	5.14686433953435	0.727854131710922	12.0841865317003	0.503948433183581	1.68576900860365	3.18930185063436	0.206332007900753	8.69339094255081	9.96468916206356	3.73845863953269	13.0133661719895	18.6828870463504	0.0212457749879285	0.157560903349179	7.02378864924893	5.46559807540551	5.59407720307374	15.0195345789351	27.5869462286822	14.670365773527	2.90489879958044	12.6126633618747	3.95872665960953	1.46442630983155	0.111372884986078	0.180870613742688	0.0940081739310554	6.60306498806067	7.68879476473422	3.8558769286132	0.200026670222696	3.62702293045747	4.59831293043661	9.56174951511321	61.0399140393637	8.87438537837185	0.763274200100949	17.6403827800562	0.554269547325103	1.31671717627043	2.35435387883826	0.0906947215672048	30.9593228611429	6.74957592991708	8.3691768354345	3.40164195252339	13.3448588128756	3.16282865483004	7.73980518408453	15.3723089764546	11.1734944113168	1.45378978453462	19.5124789109314	0.911523457037111	8.46023688663283	5.81027580563112	0.569977367778809	17.7862557962659	18.684554973822	5.86854822523121	15.1458968672027	38.1181868571781	0.0595977999897832	0.415276367329175	6.66221663725055	8.26291035532165	11.992735729703	14.7203877840509	12.4716952649323	3.04075132170886	12.3369925587564	5.30067782810221	1.45175655616032	0.087741935483871	0.557520134091002	8.04196139781747	17.5496849641232	3.30695230321983	0.258855326519348	3.54672256436385	8.41024646008528	58.7874810701666	8.00774336283186	0.874016441709827	12.5224451012038	0.627829066823517	1.33742611561254	10.0008603320882	0.0716883349637451	28.3609344499717	6.08173195395913	6.87436425141343	3.19135078806826	15.5812370811547	6.85930013068099	9.34838298591696	1.20032658631993	17.4901350194923	0.721204836314785	7.85517679441033	4.93757094211124	0.53710470432936	14.523540410069	16.9594912859162	5.52857203192972	13.0314984042659	37.4020208918621	0.0803838328016278
"g__Barnesiella"	0.0194486943443197	0	0	0.0361793883294167	0.0499913400828203	0.13894171040288	0.0102410049839558	0.0120962392402001	0.00128018024937911	0.0112064052951457	0.0106679080232366	0	0.0266513497989661	0	0.0836586726157278	0	0	0	0	0.161217306146583	0.011915045723988	0	0.195184700493724	0	0.0197640610314205	0.0124962901638576	0	0.518988250940087	0	0.0564498506810401	0.0385314574770787	0.129312086639098	0	0.0704246016608469	0	0.045358954269927	0.0488519785051295	0.0210242185433608	0	0.00386353977514198	0.0234394620085387	0.0456024078071322	0.219614206381401	0	0.0773457086467168	0.0468857599156056	0	0	0.0181233292555843	0	0.000673337193799911	0.000876731544800982	0.000605472258270246	0.000224688806003685	0.00248215742504298	0.000893359657664579	0	0.00194242647915776	0.0157728706624606	0.000272827474818024	0.0012671701556085	0	0	0	0.377237923341667	0.000501846796210053	0.000899644640367055	0.0103717532708065	0.00033533865851123	0.708859534523637	0.00174341316712794	0.000436791851211224	0.00489738349124674	0	0.029110150598969	0.00257201646090535	0.000231165234598038	0.0343084860720742	0	0.0552294591366223	0.0386949889989246	0	0.00106069284456607	0.0555692763645345	0	0.00165098233448902	0.0243452857093173	0.00774413381863239	0.00481242480586241	0	0	0	0.00110587662840334	0	0.0478421943619814	0.00116866118175019	0	0	0	0	0.0299216596547222	0	0	0.0633557701956355	0.229213440925872	0.017611835153223	0.0320165500935868	0.0233306318917459	0.0850708041016541	0.082632360217714	0	0	0.345039398796441	0	0	0.0190334798911285	0	0.106274611833083	0	0.234144542772861	0	0	0.0166227655167123	0.00153992644284691	0.569619873271083	0	0.193942446949185	0.0237462644437774	0.170321481796892	0.00759845425730537	0	0.0508203862349354	0.0214561579173223	0.00528062457602678	0.0261481411048778	0.029608286784982	0.0552850118803962	0.257060826600788	0	0.0433097066559625	0.062411681582666	0.00703918007630471	0	0.0294907414593261	0
"g__Bdellovibrio"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000475092108482532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"g__Belnapia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0.00292243848266994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00261300659665393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
