"genus"	"FR.294.M"	"FR.316.M"	"FR.221.M"	"FR.213.M"	"FR.194.M"	"FR.716.M"	"FR.052.M"	"FR.684.M"	"FR.053.M"	"FR.198.M"	"FR.730.M"	"FR.115.M"	"FR.276.M"	"FR.305.M"	"FR.399.M"	"FR.393.M"	"FR.728.M"	"FR.152.M"	"FR.726.M"	"FR.400.M"	"FR.460.M"	"FR.721.M"	"FR.719.M"	"FR.759.M"	"FR.542.M"	"FR.129.M"	"FR.751.M"	"FR.212.M"	"FR.696.M"	"FR.040.M"	"FR.110.M"	"FR.187.M"	"FR.139.M"	"FR.169.M"	"FR.390.M"	"FR.156.M"	"FR.116.M"	"FR.027.M"	"FR.558.M"	"FR.060.M"	"FR.349.M"	"FR.039.M"	"FR.132.M"	"FR.568.M"	"FR.030.M"	"FR.105.M"	"FR.173.M"	"FR.682.M"	"FR.166.M"	"FR.142.M"	"FR.294.Q"	"FR.316.Q"	"FR.221.Q"	"FR.213.Q"	"FR.194.Q"	"FR.716.Q"	"FR.052.Q"	"FR.684.Q"	"FR.053.Q"	"FR.198.Q"	"FR.730.Q"	"FR.115.Q"	"FR.276.Q"	"FR.305.Q"	"FR.399.Q"	"FR.393.Q"	"FR.728.Q"	"FR.152.Q"	"FR.726.Q"	"FR.400.Q"	"FR.460.Q"	"FR.721.Q"	"FR.719.Q"	"FR.759.Q"	"FR.542.Q"	"FR.129.Q"	"FR.751.Q"	"FR.212.Q"	"FR.696.Q"	"FR.040.Q"	"FR.110.Q"	"FR.187.Q"	"FR.139.Q"	"FR.169.Q"	"FR.390.Q"	"FR.156.Q"	"FR.116.Q"	"FR.027.Q"	"FR.558.Q"	"FR.060.Q"	"FR.349.Q"	"FR.039.Q"	"FR.132.Q"	"FR.568.Q"	"FR.030.Q"	"FR.105.Q"	"FR.173.Q"	"FR.682.Q"	"FR.166.Q"	"FR.142.Q"	"FR.294.D"	"FR.316.D"	"FR.221.D"	"FR.213.D"	"FR.194.D"	"FR.052.D"	"FR.684.D"	"FR.053.D"	"FR.198.D"	"FR.730.D"	"FR.115.D"	"FR.305.D"	"FR.399.D"	"FR.393.D"	"FR.728.D"	"FR.152.D"	"FR.726.D"	"FR.460.D"	"FR.721.D"	"FR.719.D"	"FR.759.D"	"FR.542.D"	"FR.129.D"	"FR.751.D"	"FR.212.D"	"FR.696.D"	"FR.040.D"	"FR.110.D"	"FR.187.D"	"FR.139.D"	"FR.390.D"	"FR.156.D"	"FR.027.D"	"FR.558.D"	"FR.060.D"	"FR.349.D"	"FR.039.D"	"FR.132.D"	"FR.568.D"	"FR.030.D"	"FR.105.D"	"FR.173.D"	"FR.682.D"	"FR.166.D"	"FR.142.D"
"196"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"306"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0.0084869167478135	0	0	0	0	0	0	0	0	0	0	0	0	0.00201203195106738	0	0	0	0	0	0.00147393167589716	0	0.0104024355569117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0404818567678304	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"822"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000645344484886032	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"g__"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.387842223628749	0.0891343737214332	1.42952000177605	0.00651597537410686	0.00148929445502579	0.107649838748582	0.372344308972768	0.0751071571941002	0.599369085173502	0.0665699038555979	0.00844780103738997	0.0556864424930392	0.437683696717082	0.00318671776037476	0.645172139325792	0.00200738718484021	0.00179928928073411	0.134832792520484	0.783015767623723	1.02216093288818	0.214875672848519	0.00262075110726734	0.93180883226788	0.580662899539163	0.00110544875692287	0.0334362139917695	0.0707365617869997	0.00237520288191283	0.00444219044410799	0.134862632775473	1.05466342108697	0.182026562394661	0.0647022635185303	0.559809006339014	0.00313876479142908	0.903087336965494	0.0069557959169478	0.36268360050595	0.00218746582084655	0.00581767409389726	0.623937181154346	0.0957997412162835	0.274257403844027	0.00260739875470635	0.266198876321794	0.308526551982049	0.0200713304204172	0.0142084835042972	0.00769846646548008	0.0800313314148518	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"g__28-4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0.00950184216965064	0	0	0	0.0503195290092085	0	0	0	0	0	0	0.57106659884251	0	0	0	0	0	0	0	0	0	0	0	0.136652747960713	0	0.14104905232668	0	0	0	0	0.268622041527516	0	0	0	0	0	0	0	0	0	0	0	0	0
"g__Abiotrophia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0434678968548873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044665969606838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00134813283602211	0	0	0	0	0.00337990085624155	0	0	0	0	0.0701077907282447	0	0.000501846796210053	0.00134946696055058	0	0	0	0	0	0.000326492232749783	0	0.000368482918974291	0	0	0	0	0.00128440602643308	0	0	0	0	0.0695759528766779	0	0	0	0.0100623427758941	0.000581767409389726	0.00125037511253376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0480356485834594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0519924082629886	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"g__Acetanaerobacterium"	0	0	0	0.0141645718459509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0107925177016563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0121606420819019	0	0	0.0280044807169147	0	0.00942151874882231	0	0	0	0.000673337193799911	0.00175346308960196	0	0	0	0	0	0	0	0	0.000422390051869498	0	0	0	0	0	0.00224911160091764	0	0.00536541853617969	0.00161287721165788	0.0030509730424739	0.000436791851211224	0.0019589533964987	0	0.00515876086564007	0.00385802469135802	0.00531680039575488	0	0	0	0.000899883465091271	0	0	0	0	0	0.0034778979584739	0	0	0	0	0	0.00221175325680667	0	0.00368016879707549	0	0.00308789698775649	0	0	0	0	0.0014252763254476	0.0215355981866083	0.00216432755326705	0	0	0	0	0.120669101955351	0.0098960910440376	0.0296774193548387	0	0	0	0	0	0.00512927482312551	0.00440973493083331	0	0	0	0.00908284251049767	0	0.0161692276498926	0	0	0	0.00358434180283432	0	0	0	0	0	0	0	0	0	0	0	0.00316900292604604	0	0	0	0	0
"g__Acetatifactor"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"g__Acetitomaculum"	0	0	0	0	0	0	0	0	0	0	0	0.0112774081294002	0	0	0.0203783946115234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0502492158076927	0.0226794771349635	0	0	0	0.0144882741567824	0	0	0	0	0	0.0190473399657148	0	0.0161796298460239	0.0135924969416882	0	0	0.00818282775147583	0.00242188903308099	0	0.00182024877836485	0	0	0	0	0	0	0	0	0	0.120514344009596	0	0	0	0	0.0318543249302431	0	0	0.000326492232749783	0.000410362473172553	0	0	0	0	0	0.0423853988722915	0	0	0	0	0.00052312746523818	0.0165098233448902	0	0	0	0	0	0	0	0	0	0.0654450261780105	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"g__Acetivibrio"	0.0203130807596228	0	0.0124923306577607	0	0	0	0	0	0	0	0	0.0708865653848013	0	0	0.043974430477498	0	0	0.0970994647080792	0.10985241232043	0	0.0110639710294174	0	0	0	0	0	0	0	0	0.0509869619054556	0.371482769522605	0	0	0	0	0.0515442662158262	0	0.0549342484520071	0	0	0.0161843904344672	0.106405618216642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000899883465091271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"g__Acetobacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000545654949636048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"g__Acholeplasma"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0217112131486802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"g__Acidaminococcus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0397268944341948	0.000584487696533988	0	0	0.00297858891005158	0.000893359657664579	0.00584069504271008	0.000647475493052588	0.00337990085624155	0	0.0967273218781151	0.0428357249946455	0	0.00637343552074952	0.000560531832602773	0	0.000449822320183527	0.00444503711605992	0.00100601597553369	0.000806438605828938	0.292893412077495	0.240235518166173	0.00163246116374891	0.00246217483903532	0.00147393167589716	0.00128600823045267	0.000462330469196077	0	0.00296146029607199	0.0179816843700631	0.827892787883969	0.00134834490662712	1.93152166995481	0.0123487280810077	0	0.0214627703483573	0.00521684693771085	0.00129068896977206	0.00043749316416931	0.00407237186572808	0	5.23539364984572	0.00442350651361334	0.298807897289348	0.00490689172943399	0.00467464472700075	0.0108076394571477	0.596409758802329	5.1779885446819	0.00170279428542238	2.11129043957638	0.527352240415611	0	0	0	0	0	0	0.0056592165818697	0.110836219693221	0.0425806451612903	0.430276767098647	0	0.315440807269311	0	0	0	0.236361792292665	0.287733467945482	0	0.00463669199846062	0	0	0	0	0	0	0.845904665468899	0	1.98645304155269	0	0	0	0	0	0	4.8674335991719	0	0.285052897400088	0	0	0	0.637897199040577	5.42474428422866	0
"g__Acidovorax"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0.000323737746526294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00385802469135802	0	0	0.00666328566616198	0	0	0	0	0	0.0109856767700018	0	0	0	0	0	0	0	0	0	0	0	0	0.00034654837815359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00746753489205678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"g__Acinetobacter"	0	0.0103554649603767	0	0	0	0	0	0	0	0	0	0	0	0.014021902211254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0140277047168157	0.00262371311917107	0.00044937761200737	0.00165477161669532	0.00357343863065832	0	0.000323737746526294	0.00450653447498873	0	0.000844780103738997	0	0	0.0223070243226233	0	0.000501846796210053	0	0	0.00033533865851123	0.0108869211786907	0	0.00131037555363367	0	0.00246217483903532	0.00257938043282004	0	0	0.0129316601348587	0.0573782932363949	0	0.00179976693018254	0.00134834490662712	0	0	0.00366189225666726	0.00660392933795608	0	0.00129068896977206	0.00043749316416931	0.00407237186572808	0.00375112533760128	0	0	0.00260739875470635	0	0.00701196709050112	0.0231592274081737	0.00554477405045744	0.00153969329309602	0	0	0.0121148487663046	0.00408704783103515	0	0.000751519478445482	0	0	0.00491171197720966	0	0	0	0.0321941049016802	0	0	0	0	0	0	0.00151438667339727	0	0.00231834599923031	0	0	0	0.0124047882482638	0.0522727442443975	0	0.00179217090141716	0	0	0.00634053759304739	0	0.00130037320711044	0	0.00415993153941238	0.00132574418440218	0	0	0.0023913833674504	0	0.00824305228450306	0.0211175402289141	0.00673974666481654	0	0
"g__Actinobacillus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.060600347441992	0.0394529195160442	0.0375392800127553	0	0.0316061378788806	0.0629818558653528	0.100751989486749	0.0424096447949445	0	0.0371045365752513	0.000422390051869498	0.00142785749982152	0	0	0.110424771022746	0.00200738718484021	0.000449822320183527	0	0.00167669329255615	0.160078063257044	0.0122038921698956	0.0017471674048449	0.0111007359134926	0.00123108741951766	0	0.00128600823045267	0.000231165234598038	0.00343084860720742	0	0.00642203013216538	0.0535430661729306	0.0728106249578642	0	0.224335226804972	0.120319317004781	0	0.00869474489618475	0.107772528975967	0	0.0023270696375589	0.0487646293888166	0	0.0121646429124367	0.0302458255545937	0	0.586667913238594	0.0200713304204172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0294394724446538	0	0	0	0
"g__Actinomyces"	0.0159911486831073	0.0152606852047657	0	0	0	0	0	0	0	0	0.0751602610728036	0	0	0.0434678968548873	0	0.012168516570912	0	0.0672227063363625	0	0	0	0	0	0.02680345672166	0	0	0	0	0	0	0	0	0.0108779733127055	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00942151874882231	0	0	0.0154514727184935	0.0282801621395963	0.0280554094336314	0.00121094451654049	0.00629128656810318	0.00264763458671251	0.00268007897299374	0.00292034752135504	0.00485606619789441	0.00225326723749437	0	0.102218392552419	0.00856714499892911	0.0179711186731517	0.0844480206499311	0.00784744565643883	0.0205757186446122	0.00449822320183528	0.0726022728956453	0.0033533865851123	0.00806438605828938	0.00523023950138383	0.000436791851211224	0.00783581358599479	0.026673560756216	0.00110544875692287	0.0051440329218107	0.00439213945736273	0.014251217291477	0.00481237298111699	0.00128440602643308	0.00224970866272818	0.00539337962650846	0.00954623560109463	0	0.00627752958285816	0.00165098233448902	0.0121726428546586	0	0.00568741113420103	0.000581767409389726	0.00875262578773632	0	0.00884701302722668	0.00521479750941271	0.0012267229323585	0.00116866118175019	0.012351587951026	0.00069309675630718	0.0107778530516721	0.027244708566758	0.0199477731031481	0.0230419672614028	0.000943164884085036	0.00511568330772212	0.00206667856572508	0	0.00615702886415131	0	0	0.0895596239485403	0	0.0429254732022403	0.00671843057461777	0.0117429825555969	0.00596095118439515	0.0856506595100782	0.00376146820362537	0.00529168191699997	0	0.00995575221238938	0.0278201519907637	0	0	0.0053897425499642	0.0102039387203461	0.00373376744602839	0	0.00224021362677145	0	0.00759845425730537	0.00295891754342211	0	0	0.00609302835695397	0	0.00309340309693841	0	0.0100153568805502	0.00382621338792064	0	0	0.0098548521068266	0	0.0108650100113307	0.0351679268507121
"g__Actinotignum"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00296335807737328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"g__Adhaeribacter"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"g__Adlercreutzia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0.00292243848266994	0	0.000224688806003685	0	0	0	0	0	0	0.0012671701556085	0	0	0	0.000560531832602773	0	0	0.00148167903868664	0	0	0	0	0	0	0.000368482918974291	0	0	0.000527822862647296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00170279428542238	0	0.00308809870513646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"g__Aeribacillus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"g__Aeriscardovia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0.000422390051869498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"g__Aerococcus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00369476003853107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00340131290678202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"g__Aeromonas"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0.000584487696533988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000740365074017998	0	0	0	0	0	0	0	0	0	0	0	0	0.00622076241664178	0	0	0	0.00116866118175019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00588138424259534	0	0	0	0	0	0	0	0
"g__Afipia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0.00337990085624155	0	0	0.00142785749982152	0	0.0629376757674015	0	0	0	0	0	0	0	0	0	0	0	0.00128600823045267	0	0	0	0.0051376241057323	0.000449941732545635	0	0	0.00205812134683461	0	0	0	0.00258137793954413	0	0	0	0	0	0	0.0184008439853775	0.00467464472700075	0	0	0	0	0	0	0	0	0.00112727921766822	0	0	0	0.0032859967249566	0.0049480455220188	0.0116129032258065	0	0	0	0	0	0	0	0	0	0	0	0.0089507198936143	0	0.00420162182602485	0	0	0	0	0	0.00338162004962527	0	0	0	0.00475420747361415	0	0	0	0	0	0	0.0112626881220875	0	0	0
"g__Agathobacter"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.617927607717975	1.15209836307014	0.855136161570432	6.79834960186211	5.54057735483932	1.75740955064661	1.99816110071257	0	0.023732198569131	7.2365165759525	0	1.49472629900658	2.5769980132641	2.58669560569494	0.110048329558064	1.67304288243019	0.86137621863021	0.179476211684916	0	0.767699115044248	0.818839806928145	0.226372382569327	0.0319668567629082	0.241255142712683	3.54356781717743	0.0261363721221987	3.30709653044519	1.28005806633721	2.73460601329454	1.29825018453389	0.207124228039548	1.68868883403514	3.30944981209607	2.40837100855867	3.85209660549586	0.956745386410238	1.64561131107818	0.995971600899156	1.66440282374548	0.489082784919771	4.20277908619878	1.68658754628261	0	0	0.359215252832274
